id,lat,lon
13176838577,37.6781,-97.3354
13176853726,37.7082,-97.3346
13178911228,37.7657,-100.033
13179056929,37.6726,-97.4141
13179747724,37.6043,-96.2538
13182286444,39.0874,-94.8816
13186579017,37.6935,-97.3119
13186582277,37.6862,-97.326
13188831283,38.9563,-94.7238
13188831285,38.9564,-94.7234
13188833098,38.9521,-94.7234
13188833099,38.9518,-94.7234
13188861339,38.9567,-94.7211
13188861340,38.9566,-94.7151
13188861341,38.9566,-94.7151
13188861342,38.9564,-94.7152
13188882286,38.949,-94.7609
13188882287,38.949,-94.761
13189062311,37.9419,-97.8666
13189062312,38.0254,-97.867
13189062313,38.0572,-97.9241
13189861982,38.1997,-97.8026
13190019000,39.225,-94.759
13190023514,39.225,-94.7653
13196985820,37.7158,-97.2927
13196985821,37.7157,-97.2888
13196985822,37.7161,-97.2843
13226838282,37.7798,-100.033
13226862289,39.1965,-94.723
13226928845,39.2098,-94.7055
13231518992,39.0465,-95.6774
13231520468,39.0498,-95.679
13231523198,39.0453,-95.6807
13231531429,39.0464,-95.6771
13231555080,39.0463,-95.6802
13231558962,39.0498,-95.6787
13231567930,39.0446,-95.6781
13231581388,39.0384,-95.7676
13231607934,39.0365,-95.7681
13233802449,37.9565,-98.9762
13235936553,38.1844,-97.4623
13236352271,39.0392,-94.6409
13236352272,39.0391,-94.6409
13236352273,39.1171,-94.7403
13239912620,38.2031,-97.4999
13239912621,37.6788,-96.9688
13239912622,37.6788,-96.9688
13247847080,37.6951,-97.2804
13249079929,38.9508,-94.7233
13249080178,38.9513,-94.7221
13252422063,38.964,-94.6489
13252460104,38.957,-94.6303
13252460105,38.9567,-94.6301
13252460106,38.9569,-94.6307
13252460107,38.9567,-94.6306
13252460109,38.9547,-94.6641
13256545618,39.1432,-94.7573
13256545619,39.1429,-94.7572
13256545620,39.143,-94.7569
13256545621,39.1287,-94.77
13256545622,39.1284,-94.77
13256545623,39.1284,-94.7697
13256545624,39.1287,-94.7697
13256545625,39.1165,-94.7608
13256545626,39.1161,-94.7607
13256545627,39.1162,-94.7602
13256545628,39.1166,-94.7603
13263922183,36.9979,-94.631
13263922184,37.0013,-94.6194
13263922185,37.0015,-94.618
13263922186,37.0005,-94.6145
13263922187,36.9997,-94.6038
13266249708,39.1284,-94.7458
13266249709,39.1164,-94.7431
13266249710,39.117,-94.743
13266249711,39.1168,-94.7472
13268629499,36.9999,-94.6307
13268629500,37,-94.6306
13268678001,37.0002,-94.6308
13268678002,37.0005,-94.6308
13273214786,39.1166,-94.8197
13273214787,39.1165,-94.8193
13273214788,39.1169,-94.8191
13273214789,39.1169,-94.8196
13273214790,39.1284,-94.8254
13273214791,39.1287,-94.8255
13273214792,39.1284,-94.8249
13273214793,39.1288,-94.825
13275622343,39.0587,-94.6678
13275622372,39.071,-94.7054
13275679972,39.0732,-94.7054
13275691120,39.073,-94.7051
13275694022,39.073,-94.7054
13275694992,39.0664,-94.7051
13275700332,39.0622,-94.6479
13275710317,39.0732,-94.7051
13275721916,39.0624,-94.6479
13280668809,39.1428,-94.6731
13280668810,39.1428,-94.6734
